var,label,reason
ELDEXP9,나이 든 후보자에게 투표하기를 꺼려한 적이 있다,앵커 준중복(정치성향/투표)
GENCONF4,청년 세대와 노인 세대 관계 인식4: 노인증가로 인한 선거에서 청년층의 의견반영 어려움,앵커 준중복(정치성향/투표)
CONBLUHO,기관 지도층에 대한 신뢰15: 대통령실,앵커 준중복(정치성향/투표)
CONELEC,기관 지도층에 대한 신뢰20: 중앙선거관리위원회,앵커 준중복(정치성향/투표)
LAWHARSHA,법원의 범죄자 처벌에 대한 인식(A형),위약쌍 문항(A/B폼)
LAWHARSHB,법원의 범죄자 처벌에 대한 인식(B형),위약쌍 문항(A/B폼)
PARTYLR,"정치적 진보, 보수 성향",앵커 준중복(정치성향/투표)
PRTYID03,2003년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR03,(지지 정당이 없을 경우) 2003년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYID04,2004년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR04,(지지 정당이 없을 경우) 2004년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYID05,2005년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR05,(지지 정당이 없을 경우) 2005년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYID06,2006년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR06,(지지 정당이 없을 경우) 2006년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYID07,2007년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR07,(지지 정당이 없을 경우) 2007년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYID08,2008년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR08,(지지 정당이 없을 경우) 2008년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYID09,2009년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR09,(지지 정당이 없을 경우) 2009년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYID10,2010년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYID11,2011년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYID12,2012년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYID13,2013년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR13,(지지 정당이 없을 경우) 2013년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYID14,2014년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR14,(지지 정당이 없을 경우) 2014년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYID16,2016년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR16,(지지 정당이 없을 경우) 2016년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYID18,2018년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR18,(지지 정당이 없을 경우) 2018년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYID21,2021년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR21,(지지 정당이 없을 경우) 2021년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYID23,2023년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR23,(지지 정당이 없을 경우) 2023년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYID25,2025년 지지하는 정당,앵커 준중복(정치성향/투표)
PRTYPR25,(지지 정당이 없을 경우) 2025년 선호하는 정당,앵커 준중복(정치성향/투표)
PRTYAB03,2003년 정권획득 능력이 가장 큰 정당,앵커 준중복(정치성향/투표)
PRTYAB04,2004년 정권획득 능력이 가장 큰 정당,앵커 준중복(정치성향/투표)
PRTYAB05,2005년 정권획득 능력이 가장 큰 정당,앵커 준중복(정치성향/투표)
PRTYAB06,2006년 정권획득 능력이 가장 큰 정당,앵커 준중복(정치성향/투표)
PRTYAB07,2007년 정권획득 능력이 가장 큰 정당,앵커 준중복(정치성향/투표)
PRTYAB08,2008년 정권획득 능력이 가장 큰 정당,앵커 준중복(정치성향/투표)
PRTYAB09,2009년 정권획득 능력이 가장 큰 정당,앵커 준중복(정치성향/투표)
PRTYAB11,2011년 정권획득 능력이 가장 큰 정당,앵커 준중복(정치성향/투표)
PRTYAB12,2012년 정권획득 능력이 가장 큰 정당,앵커 준중복(정치성향/투표)
PRTYAB13,2013년 정권획득 능력이 가장 큰 정당,앵커 준중복(정치성향/투표)
PRTYAB14,2014년 정권획득 능력이 가장 큰 정당,앵커 준중복(정치성향/투표)
VOTE02,2002년 제16대 대통령선거 투표 여부,앵커 준중복(정치성향/투표)
