study,task,condA,condB,nA,nB,ncat,sim,focal_cat,focal_pp,p,stimA,stimB
egmxd,0,0,1,23338,23394,2,0.588,1,0.0,1.0,"You were shown a fast-food menu with a Quick Response code label next to every menu item, including Whopper, Impossible Whopper, Whopper Jr., Double Whopper with Cheese, Bacon Double Cheeseburger, Cheeseburger, Crispy Ch","You were shown a fast-food menu where lower greenhouse gas emission items (vegetarian or vegan items like Impossible Whopper and items whose primary protein is fish or chicken such as Crispy Chicken Sandwich, Spicy Crisp"
v6kqy,1,1,3,4319,4270,2,0.82,2,-0.45,0.6255156175998121,"You viewed an image and description of the Ford F-150 Lightning, a 100% electric version of the F-150 that costs about $40,000, has a 250 mile range and can tow up to 10,000 pounds and then were asked: ""Which of the foll","You viewed an image and description of the Tesla Model 3, a 100% electric car that costs about $40,000, has a 250 mile range and can accelerate from zero to 60 mpg in about 5.3 seconds and then were asked: ""Which of the "
7py98,1,0,1,3532,3467,7,0.817,2,-0.99,0.7752906677772351,"You read the following article about Major League Baseball All-Star Game statistics: Updated: August 16, 2023... The struggle for income equality in America should be closely related to the struggle of other disadvantage","You read the following article about rising income inequality in the United States: Updated: November, 2022... The struggle for income equality in America should be closely related to the struggle of other disadvantaged "
hz5rt,0,0,1,3309,3455,2,0.72,1,0.72,0.5244463530261059,"You read ""The Lilly Ledbetter Fair Pay Act of 2009 extends the period of time in which workers can sue their employers for discrimination in pay due to race or gender."" and then were asked: ""Would you have voted for or a","You read ""The Lilly Ledbetter Fair Pay Act of 2009 extends the period of time in which workers can sue their employers for discrimination in pay due to race or gender. Supporters argued that women and minorities who are "
yn4gf,1,0,2,2843,3010,5,1.0,3,1.32,0.5940718542381622,"When people criticize Democrats, how much does it upset you? Only return an integer from 1 to 4, where 1 means It upsets me a lot and 4 means It doesn’t upset me at all, nothing else.","When people criticize Democrats, how much does it upset you? Only return an integer from 1 to 4, where 1 means It upsets me a lot and 4 means It doesn’t upset me at all, nothing else."
zv3wc,2,1,2,2421,2441,4,0.996,3,1.06,0.7290804224680503,"You read “[Full text of Narrative 1]” and then were asked: ""Expanding public outpatient mental health treatment options in the community?"" Only return an integer from 1 to 5, where 1 means strongly oppose and 5 means str","You read “[Full text of Narrative 2]” and then were asked: ""Expanding public outpatient mental health treatment options in the community?"" Only return an integer from 1 to 5, where 1 means strongly oppose and 5 means str"
4gczb,0,0,1,2076,2074,7,0.601,6,1.1,0.7898958170844532,"You were presented with two hypothetical candidates for a city council primary. Candidate 1 was a 29-year-old Male Mayor with None years in politics, 1 children, and a partner whose occupation is Unmarried. Candidate 2 w","You were presented with two hypothetical candidates for a congressional primary. Candidate 1 was a 45-year-old Female Mayor with 8 years in politics, 0 children, and a partner whose occupation is Farmer. Candidate 2 was "
fct42,0,0,1,2019,2006,2,0.954,1,-0.33,0.7767165699986284,"You read ""A white person uses the n-word when referring to a black person."" and then were asked: ""Is this situation an instance of racism?"" Only return 1 for Yes and 2 for No, nothing else.","You read ""A white person uses the n-word when referring to a black person."" and then were asked: ""Is this situation an instance of racial insensitivity?"" Only return 1 for Yes and 2 for No, nothing else."
rs65g,0,2,3,1825,1847,3,0.887,1,1.02,0.7760103426986067,"You read an EnergyGuide label for a central air conditioner and then were asked: ""Which of the following three options do you most prefer: Option A with purchase price $200, Option B with purchase price $505, Option C wi","You read an EnergyGuide label for a central air conditioner and then were asked: ""Which of the following three options do you most prefer: Option A with purchase price $200, Option B with purchase price $300, Option C wi"
b3ve6,0,3,4,1713,1713,2,0.606,2,0.12,0.9727224956306567,"You were shown a profile of a hypothetical pregnant woman with attributes Name = 36.0, Marital status = Married, Annual family income = $40, Weeks into pregnancy = 15 weeks, Number of children = 1, Age = 13, Reason for a","You were shown a profile of a hypothetical pregnant woman with attributes Name = 13.0, Marital status = Not married, Annual family income = $36, Weeks into pregnancy = 19 weeks, Number of children = 9, Age = 15, Reason f"
