study,task,condA,condB,nA,nB,ncat,sim,focal_cat,focal_pp,p,stimA,stimB
yjvpn,4,3,5,153,158,4,0.87,1,95.47,2.454812846364597e-62,"You viewed a photograph of Alex with a masculine appearance labeled as cisgender. If you saw Alex in passing, you would immediately see them as: 1 for Man; 2 for Woman; 3 for Unsure; 4 for Other. Only return 1, 2, 3, or ","You viewed a photograph of Alex with a feminine appearance labeled as cisgender. If you saw Alex in passing, you would immediately see them as: 1 for Man; 2 for Woman; 3 for Unsure; 4 for Other. Only return 1, 2, 3, or 4"
vemrp,5,1,2,649,628,2,0.523,1,-90.13,8.178060567294266e-227,"You read ""A family with two children lives in a neighborhood nearby to yours. They make very little money and have no extra money to spend. They live in a small home and often take public transit or walk to avoid driving","You read ""A family with two children lives in a neighborhood nearby to yours. They make a lot of money and have plenty of extra money to spend. They live in a comfortable home and drive a reliable car. They use their was"
dh3nj,1,1,8,157,153,5,0.889,5,80.24,4.487049329287101e-47,"You read “Megan is a 27-year-old lawyer. One Friday, after a long day at the office, a few of Megan’s coworkers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child — bu","You read “Megan is a 27-year-old lawyer. One Friday, after a long day at the office, a few of Megan’s coworkers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, and"
q9w6s,0,1,3,551,606,4,0.773,1,-70.96,3.644658076905543e-134,"You read “Local Government Sees Its First First Chinese and Female Mayor. August 27, 2016. Mayoral candidate Michelle Wong makes local history as the first Chinese American woman elected to the mayor’s office in [city na","You read “Local Government Sees Its First First Black and Female Mayor. August 27, 2016. Mayoral candidate Michelle Davenport makes local history as the first Black woman elected to the mayor’s office in [city name redac"
dkhgv,1,3,5,1388,1375,5,0.806,3,52.26,2.0119653959992674e-216,"You read ""Your taxes support numerous programs, including the ones listed below. How many of these programs should the government spend more to support? I don't want to know which ones, just how many in total. 1. Health ","You read ""Your taxes support numerous programs, including the ones listed below. How many of these programs should the government spend more to support? I don't want to know which ones, just how many in total. 1. Improve"
evnyh,5,8,9,265,297,8,0.608,1,51.35,4.311187053568566e-50,"You were shown a vertical combined verbal and precise frequency labels frequency scale from never (0 days) to all of the time (7 days) and then were asked: ""During an average week, how often do you feel worthless?"". Only","You were shown a horizontal vague verbal labels frequency scale from all of the time to never and then were asked: ""During an average week, how often do you feel worthless?"". Only return an integer from 1 to 5, where 1 ="
yp736,4,1,2,595,606,7,0.903,1,47.84,8.2120759290485355e-140,"You read ""A new superbacteria, Perinia Accetis, has been found in the Amazon rainforest; it causes intense fever and large black boils; it has spread to villages in Brazil, Bolivia, and Peru, with one unconfirmed case in","You read ""A new superbacteria, Perinia Accetis, has been found in the Amazon rainforest; it causes intense fever and large black boils; it has spread to villages in Brazil, Bolivia, and Peru, with one unconfirmed case in"
4fsg5,5,2,5,1049,1110,5,0.742,1,46.93,8.741650494773535e-108,"You read “Suppose you are walking ... you can see some police officers up ahead.” and then were asked: “How likely is it that you would take the money in this scenario?” Only return an integer from 1 to 5, where 1 means ","You read “Suppose that you and some friends ... if you were to fight this guy.” and then were asked: “How likely is it that you would fight the guy in this scenario?” Only return an integer from 1 to 5, where 1 means Ext"
qmfy4,0,2,4,423,448,5,0.601,3,45.83,2.651449873280713e-67,"You read “Carol Cook is married to Bill Cook. Carol has been late to her office job on several occasions because she is currently caring for Bill’s mother who has a serious, but non-life threatening illness. Her fellow e","You read “Carol Sherman-Cook is married to Bill Cook. Carol has been spending a lot of extra hours at her office job hoping for a promotion. Bill is starting to feel burdened by her absence, as he is picking up her slack"
kryns,0,0,1,257,291,3,0.979,3,45.07,1.3905211029170536e-28,"You read “Latinos are one of the largest ethnic groups in the United States. Unlike many minority groups in the U.S. today, there is widespread disagreement about whether the group as a whole should be considered White o","You read “Latinos are one of the largest ethnic groups in the United States. Unlike many minority groups in the U.S. today, there is widespread disagreement about whether the group as a whole should be considered White o"
53kjy,1,2,3,1413,1350,3,0.803,2,-45.05,3.0044686615607533e-144,"You read 'I believe Barack Obama is a Muslim.' and then were asked: 'Is this statement true for you?' Only return an integer from 1 to 3, where 1 = False, 2 = Not sure, and 3 = True, nothing else.","You read 'I believe Barack Obama is a Muslim.' and then were asked: 'Is this statement true for you?' Only return 1 for True and 2 for False, nothing else."
wmsah,0,1,9,211,201,7,0.509,1,43.84,7.832094218198219e-27,"You read “The chance of surviving a life-threatening medical emergency can depend on how long it takes to get to a hospital. According to a recent report, 80% of Americans live close enough to a hospital to get adequate ","You read “The chance of surviving a life-threatening medical emergency can depend on how long it takes to get to a hospital. According to a recent report, 80% of Americans live close enough to a hospital to get adequate "
s43kb,5,2,3,738,740,5,0.678,1,41.14,2.2671932539282616e-56,"You viewed a Congressional hearing about Planned Parenthood funding, where the speaker calmly explained the importance of following the law and discussed legislative changes in a respectful and reasoned manner. How disgu","You viewed a heated Congressional hearing about Planned Parenthood funding, where the speaker used harsh, insulting, and blaming language towards the organization. How disgusted did the clip make you feel? Only return an"
9263n,5,0,3,214,212,5,0.644,1,-39.24,5.013352582778789e-22,"Please think of the last time you spent at least $10 (but no more than $10,000) of your discretionary money in order to do something with at least one other person. The primary focus of this expense should have been on a","Please think of the last time you spent at least $10 (but no more than $10,000) of your discretionary money in order to acquire a material possession to use by yourself. Then you were asked: ""Think about the last time yo"
es4xw,1,2,3,617,601,4,0.977,3,-38.23,6.64681026467603e-24,"You viewed a composite image of eight headshots depicting three Asian American individuals and five White individuals and then were asked: ""I would feel comfortable working as a part of this group."" Only return an intege","You viewed a composite image of eight headshots depicting five Asian American individuals and three White individuals and then were asked: ""I would feel comfortable working as a part of this group."" Only return an intege"
s2rd5,0,0,3,385,405,5,0.776,5,-36.29,2.9706292903500597e-31,"You read “Some people believe that the United States should place a greater emphasis on promoting political equality.” and then were asked: “How about you, do you strongly support, somewhat support, neither support nor o",You read “Some people believe that the United States should place a greater emphasis on promoting political equality. By political equality I mean making sure elected officials listen and respond to the opinions of all c
jkspw,1,0,1,1964,1944,9,0.655,1,36.28,0.0,"You read “Imagine that you have a red, painful sore on your skin that is about two inches across and is starting to ooze thick pus (white liquid). You have had the sore for a few days, and it seems to be getting worse no","You read “Imagine that you have a red, painful sore on your skin that is about two inches across and is starting to ooze thick pus (white liquid). You have had the sore for a few days, and it seems to be getting worse no"
